"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","geometry","X","Y","d"
27,"Montserrado","Greater Monrovia","Z1600 Central Caldwell","300404011","SA09","3004954011",30,4,954,11,451,220,231,90,"30","04","954","011",c(-10.7712898924884, 6.38175060806726),-10.7712898924884,6.38175060806726,0.373412701761206
27,"Montserrado","Greater Monrovia","Z1600 Central Caldwell","300404021","SA09","3004954021",30,4,954,21,743,382,361,126,"30","04","954","021",c(-10.7675464131572, 6.38160948295199),-10.7675464131572,6.38160948295199,0.367622277923561
27,"Montserrado","Greater Monrovia","Z1600 New Georgia Road","300401021","SA11","3004951021",30,4,951,21,637,316,321,123,"30","04","951","021",c(-10.7704016407922, 6.37755345965109),-10.7704016407922,6.37755345965109,0.183204043287523
28,"Montserrado","Greater Monrovia","Z1600 Dixville A","300405061","SA06","3004955061",30,4,955,61,314,140,174,46,"30","04","955","061",c(-10.7489516008793, 6.3882376963853),-10.7489516008793,6.3882376963853,1.24514557717096
28,"Montserrado","Greater Monrovia","Z1600 Dixville B","300407021","SA03","3004957021",30,4,957,21,445,225,220,74,"30","04","957","021",c(-10.7396052378888, 6.38010357023428),-10.7396052378888,6.38010357023428,1.15554230690203
28,"Montserrado","Greater Monrovia","Z1600 Dixville B","300407011","SA03","3004957011",30,4,957,11,729,383,346,117,"30","04","957","011",c(-10.745376269859, 6.37060003978314),-10.745376269859,6.37060003978314,0.168374633957153
29,"Montserrado","Greater Monrovia","Z1600 Cassava Hill","300411011","SA01","3004961011",30,4,1,11,389,194,195,100,"30","04","961","011",c(-10.706397338317, 6.38162483816975),-10.706397338317,6.38162483816975,1.25243886322128
29,"Montserrado","Greater Monrovia","Z1400 Kaba Town
","300408071","SA11","3004858071",30,4,858,71,647,347,300,70,"30","04","858","071",c(-10.7238740034434, 6.37472810301764),-10.7238740034434,6.37472810301764,0.991525747422773
29,"Montserrado","Greater Monrovia","Z1400 Kaba Town
","300408081","SA10","3004858081",30,4,858,81,313,156,157,47,"30","04","858","081",c(-10.7185252012473, 6.37244591791955),-10.7185252012473,6.37244591791955,0.849556590752832
30,"Montserrado","Greater Monrovia","Z1600 Samukai Town","300410031","SA02","3004960031",30,4,960,31,354,175,179,87,"30","04","960","031",c(-10.7282824234408, 6.40220378623548),-10.7282824234408,6.40220378623548,0.391431889617578
30,"Montserrado","Greater Monrovia","Z1600 Samukai Town","300410021","SA02","3004960021",30,4,960,21,153,76,77,42,"30","04","960","021",c(-10.7302473946954, 6.40142956290501),-10.7302473946954,6.40142956290501,0.320405059217788
30,"Montserrado","Greater Monrovia","Z1600 Samukai Town","300410041","SA02","3004960041",30,4,960,41,319,153,166,83,"30","04","960","041",c(-10.7284159091672, 6.40093758636658),-10.7284159091672,6.40093758636658,0.184834884838296
